branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,1274,-0.0002623533636236728,-2.0683939188090363,0.07534246575342465
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,5177,-0.0003253705334406389,-2.565221285645997,0.31836631151699646
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,6010,-0.0003067417878874575,-2.418352255704715,0.3706240487062405
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,250,-0.00034120421380618186,-0.11225618634223383,0.3799392097264438
daily,1,0.55,0.45,83,-0.00017757899449190944,-0.058423489187838205,0.12158054711246201
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,229,-0.00027255953035376494,-0.08967208548638866,0.3617021276595745
daily,3,0.55,0.45,40,-0.0006098886168982652,-0.20065335495952924,0.057750759878419454
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,106,-0.0005298063006781326,-0.17430627292310563,0.17325227963525835
daily,7,0.55,0.45,27,0.00012374593421777928,0.040712412357649386,0.04559270516717325
daily,7,0.58,0.42,2,4.2077883491692705e-05,0.013843623668766899,0.00303951367781155
