index,branch,task,model,horizon,metric,mean,std
0,daily,direction,baseline_logistic,1,accuracy,0.49333333333333335,0.08628119403696521
1,daily,direction,baseline_logistic,1,f1,0.4578529790294496,0.22376014357279458
2,daily,direction,baseline_logistic,1,precision,0.4585714285714285,0.13612719142367535
3,daily,direction,baseline_logistic,1,recall,0.5625,0.3795430590505765
4,daily,direction,baseline_logistic,1,roc_auc,0.609292328042328,0.1411032806164317
5,daily,direction,baseline_logistic,3,accuracy,0.6066666666666667,0.08944271909999157
6,daily,direction,baseline_logistic,3,f1,0.577562582345191,0.17133776701126036
7,daily,direction,baseline_logistic,3,precision,0.6192592592592593,0.12596404651760423
8,daily,direction,baseline_logistic,3,recall,0.6269230769230769,0.32940923726932386
9,daily,direction,baseline_logistic,3,roc_auc,0.7027432126696833,0.14469822543883895
10,daily,direction,baseline_logistic,7,accuracy,0.5399999999999999,0.132077418374393
11,daily,direction,baseline_logistic,7,f1,0.5336128910994302,0.2360118683761436
12,daily,direction,baseline_logistic,7,precision,0.5282539682539682,0.17152646381936348
13,daily,direction,baseline_logistic,7,recall,0.6352092352092352,0.38194370122131344
14,daily,direction,baseline_logistic,7,roc_auc,0.6543252702463229,0.1350309122010716
15,daily,direction,baseline_prev_bar,1,accuracy,0.4133333333333333,0.1386442289539028
16,daily,direction,baseline_prev_bar,1,f1,0.3950026455026455,0.09548695183898878
17,daily,direction,baseline_prev_bar,1,precision,0.39354395604395603,0.08561230372985873
18,daily,direction,baseline_prev_bar,1,recall,0.39702380952380956,0.10667888960580882
19,daily,direction,baseline_prev_bar,1,roc_auc,0.4089285714285714,0.13652979836591259
20,daily,direction,baseline_prev_bar,3,accuracy,0.5066666666666666,0.11155467020454336
21,daily,direction,baseline_prev_bar,3,f1,0.49259027052130494,0.11717076643474858
22,daily,direction,baseline_prev_bar,3,precision,0.5028846153846154,0.13208472939611518
23,daily,direction,baseline_prev_bar,3,recall,0.4856900452488688,0.10728821504440471
24,daily,direction,baseline_prev_bar,3,roc_auc,0.5051753393665159,0.11018434864995526
25,daily,direction,baseline_prev_bar,7,accuracy,0.4333333333333333,0.10540925533894596
26,daily,direction,baseline_prev_bar,7,f1,0.41761904761904756,0.14841948885238018
27,daily,direction,baseline_prev_bar,7,precision,0.44313186813186806,0.18776422432594184
28,daily,direction,baseline_prev_bar,7,recall,0.39917369180527074,0.11361292777216245
29,daily,direction,baseline_prev_bar,7,roc_auc,0.4274098124098124,0.10676458032919153
30,daily,direction,mvp_xgboost,1,accuracy,0.58,0.05055250296034367
31,daily,direction,mvp_xgboost,1,f1,0.6268542310402776,0.10219185272601117
32,daily,direction,mvp_xgboost,1,precision,0.5574561403508772,0.06795022187441373
33,daily,direction,mvp_xgboost,1,recall,0.7910714285714285,0.25517600968423215
34,daily,direction,mvp_xgboost,1,roc_auc,0.634623015873016,0.10081874218998155
35,daily,direction,mvp_xgboost,3,accuracy,0.5333333333333333,0.09999999999999996
36,daily,direction,mvp_xgboost,3,f1,0.6468266073651631,0.08494776965354217
37,daily,direction,mvp_xgboost,3,precision,0.5202960850401868,0.09673445746998213
38,daily,direction,mvp_xgboost,3,recall,0.8752747252747252,0.12081042003760718
39,daily,direction,mvp_xgboost,3,roc_auc,0.6130696509372979,0.09276619824598326
40,daily,direction,mvp_xgboost,7,accuracy,0.5466666666666666,0.13864422895390277
41,daily,direction,mvp_xgboost,7,f1,0.6307774530552602,0.0863829985218012
42,daily,direction,mvp_xgboost,7,precision,0.5780325814536341,0.1554816172233517
43,daily,direction,mvp_xgboost,7,recall,0.7679030910609858,0.1786170524118448
44,daily,direction,mvp_xgboost,7,roc_auc,0.7202759170653907,0.07040935999666662
45,daily,interval,mvp_xgboost_quantile,1,coverage,0.6599999999999999,0.136218778278017
46,daily,interval,mvp_xgboost_quantile,1,interval_width,0.02036227025091648,0.0019579737618289853
47,daily,interval,mvp_xgboost_quantile,3,coverage,0.6866666666666666,0.044721359549995836
48,daily,interval,mvp_xgboost_quantile,3,interval_width,0.03529790192842484,0.0018766050561530143
49,daily,interval,mvp_xgboost_quantile,7,coverage,0.78,0.06497862896539316
50,daily,interval,mvp_xgboost_quantile,7,interval_width,0.05226907506585121,0.004482777054697843
51,daily,magnitude,baseline_zero,1,mae,0.00801047446658896,0.0011214388900355396
52,daily,magnitude,baseline_zero,1,rmse,0.009839767854870316,0.0014607191857537159
53,daily,magnitude,baseline_zero,1,sign_accuracy,0.0,0.0
54,daily,magnitude,baseline_zero,3,mae,0.012089537853038167,0.002112680506867245
55,daily,magnitude,baseline_zero,3,rmse,0.01509949721632147,0.002752939279524164
56,daily,magnitude,baseline_zero,3,sign_accuracy,0.0,0.0
57,daily,magnitude,baseline_zero,7,mae,0.017602757293389237,0.004728259363467838
58,daily,magnitude,baseline_zero,7,rmse,0.02094857679918801,0.0053433285671185
59,daily,magnitude,baseline_zero,7,sign_accuracy,0.0,0.0
60,daily,magnitude,mvp_xgboost_quantile_q50,1,mae,0.00799670172109702,0.0009784444709387673
61,daily,magnitude,mvp_xgboost_quantile_q50,1,rmse,0.010064616865707842,0.0011459591402547976
62,daily,magnitude,mvp_xgboost_quantile_q50,1,sign_accuracy,0.5466666666666666,0.0298142396999972
63,daily,magnitude,mvp_xgboost_quantile_q50,3,mae,0.012490572773696227,0.0011668296490215677
64,daily,magnitude,mvp_xgboost_quantile_q50,3,rmse,0.015935170602393783,0.0017433422546074633
65,daily,magnitude,mvp_xgboost_quantile_q50,3,sign_accuracy,0.5199999999999999,0.11450376024878445
66,daily,magnitude,mvp_xgboost_quantile_q50,7,mae,0.017842988446238637,0.005308839266458905
67,daily,magnitude,mvp_xgboost_quantile_q50,7,rmse,0.02150490774178566,0.005719837777369743
68,daily,magnitude,mvp_xgboost_quantile_q50,7,sign_accuracy,0.5933333333333334,0.18469193569593428
69,daily,magnitude_quantile,mvp_xgboost_quantile,1,pinball_q0.1,0.001828690956905539,0.00024512826278223033
70,daily,magnitude_quantile,mvp_xgboost_quantile,1,pinball_q0.5,0.00399835086054851,0.0004892222354693837
71,daily,magnitude_quantile,mvp_xgboost_quantile,1,pinball_q0.9,0.002043068142462692,0.0004613701801751055
